,sample_0,sample_1,raw_score,corrected_score,normalized_score,resampled
0,virtsim_36_0,virtsim_36_4,2,0.25,-0.635,True
1,virtsim_36_0,virtsim_30_3,12,1.5,-0.01,False
2,virtsim_36_0,virtsim_30_4,12,1.5,-0.01,False
3,virtsim_36_0,virtsim_64_1,9,1.13,-0.195,False
4,virtsim_36_0,virtsim_17_3,11,1.38,-0.07,False
5,virtsim_36_0,virtsim_29_3,10,1.25,-0.135,False
6,virtsim_36_0,virtsim_29_1,10,1.25,-0.135,False
7,virtsim_36_0,virtsim_62_4,12,1.5,-0.01,False
8,virtsim_36_0,virtsim_62_3,12,1.5,-0.01,False
9,virtsim_36_0,virtsim_26_4,15,1.88,0.18,False
10,virtsim_36_0,virtsim_92_4,13,1.63,0.055,False
11,virtsim_36_0,virtsim_38_1,11,1.38,-0.07,False
12,virtsim_36_0,virtsim_38_3,12,1.5,-0.01,False
13,virtsim_36_0,virtsim_47_4,14,1.75,0.115,False
14,virtsim_36_0,virtsim_16_4,12,1.5,-0.01,False
15,virtsim_36_0,virtsim_24_3,14,1.75,0.115,False
16,virtsim_36_0,virtsim_24_1,13,1.63,0.055,False
17,virtsim_36_0,virtsim_26_3,13,1.63,0.055,False
18,virtsim_36_0,virtsim_24_4,13,1.63,0.055,False
19,virtsim_36_0,virtsim_22_2,11,1.38,-0.07,False
20,virtsim_36_0,virtsim_22_4,11,1.38,-0.07,False
21,virtsim_36_0,virtsim_1_1,13,1.63,0.055,False
22,virtsim_36_0,virtsim_71_1,12,1.5,-0.01,False
23,virtsim_36_0,virtsim_79_3,15,1.88,0.18,False
24,virtsim_36_0,virtsim_66_2,11,1.38,-0.07,False
25,virtsim_36_0,virtsim_66_3,12,1.5,-0.01,False
26,virtsim_36_0,virtsim_65_3,12,1.5,-0.01,False
27,virtsim_36_0,virtsim_16_1,13,1.63,0.055,False
28,virtsim_36_0,virtsim_16_2,12,1.5,-0.01,False
29,virtsim_36_0,virtsim_25_1,12,1.5,-0.01,False
30,virtsim_36_0,virtsim_63_4,12,1.5,-0.01,False
31,virtsim_36_0,virtsim_63_2,11,1.38,-0.07,False
32,virtsim_36_0,virtsim_48_4,14,1.75,0.115,False
33,virtsim_36_0,virtsim_14_2,12,1.5,-0.01,False
34,virtsim_36_0,virtsim_20_4,12,1.5,-0.01,False
35,virtsim_36_0,virtsim_97_3,13,1.63,0.055,False
36,virtsim_36_0,virtsim_94_3,12,1.5,-0.01,False
37,virtsim_36_0,virtsim_94_1,12,1.5,-0.01,False
38,virtsim_36_0,virtsim_3_2,12,1.5,-0.01,False
39,virtsim_36_0,virtsim_73_2,13,1.63,0.055,False
40,virtsim_36_0,virtsim_73_3,13,1.63,0.055,False
41,virtsim_36_0,virtsim_69_1,13,1.63,0.055,False
42,virtsim_36_0,virtsim_26_1,13,1.63,0.055,False
43,virtsim_36_0,virtsim_92_3,14,1.75,0.115,False
44,virtsim_36_0,virtsim_92_2,13,1.63,0.055,False
45,virtsim_36_0,virtsim_75_1,13,1.63,0.055,False
46,virtsim_36_0,virtsim_1_2,14,1.75,0.115,False
47,virtsim_36_0,virtsim_1_3,13,1.63,0.055,False
48,virtsim_36_0,virtsim_53_2,12,1.5,-0.01,False
49,virtsim_36_0,virtsim_53_4,13,1.63,0.055,False
50,virtsim_36_0,virtsim_59_2,13,1.63,0.055,False
51,virtsim_36_0,virtsim_98_2,11,1.38,-0.07,False
52,virtsim_36_0,virtsim_98_1,12,1.5,-0.01,False
53,virtsim_36_0,virtsim_51_2,10,1.25,-0.135,False
54,virtsim_36_0,virtsim_98_4,11,1.38,-0.07,False
55,virtsim_36_0,virtsim_88_1,11,1.38,-0.07,False
56,virtsim_36_0,virtsim_88_2,11,1.38,-0.07,False
57,virtsim_36_0,virtsim_78_1,13,1.63,0.055,False
58,virtsim_36_0,virtsim_78_3,13,1.63,0.055,False
59,virtsim_36_0,virtsim_57_4,13,1.63,0.055,False
60,virtsim_36_0,virtsim_33_4,13,1.63,0.055,False
61,virtsim_36_0,virtsim_33_3,13,1.63,0.055,False
62,virtsim_36_0,virtsim_57_3,13,1.63,0.055,False
63,virtsim_36_0,virtsim_93_4,12,1.5,-0.01,False
64,virtsim_36_0,virtsim_9_2,15,1.88,0.18,False
65,virtsim_36_0,virtsim_67_4,12,1.5,-0.01,False
66,virtsim_36_0,virtsim_55_2,12,1.5,-0.01,False
67,virtsim_36_0,virtsim_55_1,13,1.63,0.055,False
68,virtsim_36_0,virtsim_18_4,13,1.63,0.055,False
69,virtsim_36_0,virtsim_84_1,13,1.63,0.055,False
70,virtsim_36_0,virtsim_84_2,12,1.5,-0.01,False
71,virtsim_36_0,virtsim_7_2,12,1.5,-0.01,False
72,virtsim_36_0,virtsim_11_1,12,1.5,-0.01,False
73,virtsim_36_0,virtsim_47_1,14,1.75,0.115,False
74,virtsim_36_0,virtsim_49_4,12,1.5,-0.01,False
75,virtsim_36_0,virtsim_97_1,13,1.63,0.055,False
76,virtsim_36_0,virtsim_95_1,14,1.75,0.115,False
77,virtsim_36_0,virtsim_5_1,13,1.63,0.055,False
78,virtsim_36_0,virtsim_5_3,13,1.63,0.055,False
79,virtsim_36_0,virtsim_72_2,13,1.63,0.055,False
80,virtsim_36_0,virtsim_95_4,13,1.63,0.055,False
81,virtsim_36_0,virtsim_27_1,12,1.5,-0.01,False
82,virtsim_36_0,virtsim_27_2,12,1.5,-0.01,False
83,virtsim_36_0,virtsim_43_3,11,1.38,-0.07,False
84,virtsim_36_0,virtsim_68_2,13,1.63,0.055,False
85,virtsim_36_0,virtsim_91_2,13,1.63,0.055,False
86,virtsim_36_0,virtsim_68_1,12,1.5,-0.01,False
87,virtsim_36_0,virtsim_68_4,13,1.63,0.055,False
88,virtsim_36_0,virtsim_50_1,11,1.38,-0.07,False
89,virtsim_36_0,virtsim_89_1,10,1.25,-0.135,False
90,virtsim_36_0,virtsim_89_3,10,1.25,-0.135,False
91,virtsim_36_0,virtsim_68_3,13,1.63,0.055,False
92,virtsim_36_0,virtsim_99_2,12,1.5,-0.01,False
93,virtsim_36_0,virtsim_99_1,13,1.63,0.055,False
94,virtsim_36_0,virtsim_56_3,10,1.25,-0.135,False
95,virtsim_36_0,virtsim_80_1,12,1.5,-0.01,False
96,virtsim_36_0,virtsim_80_2,12,1.5,-0.01,False
97,virtsim_36_0,virtsim_15_1,12,1.5,-0.01,False
98,virtsim_36_0,virtsim_13_4,9,1.13,-0.195,False
99,virtsim_36_0,virtsim_82_4,11,1.38,-0.07,False
100,virtsim_36_0,virtsim_45_2,10,1.25,-0.135,False
101,virtsim_36_0,virtsim_0_3,11,1.38,-0.07,False
102,virtsim_36_0,virtsim_0_4,9,1.13,-0.195,False
103,virtsim_36_0,virtsim_31_2,13,1.63,0.055,False
104,virtsim_36_0,virtsim_4_3,14,1.75,0.115,False
105,virtsim_36_0,virtsim_48_2,14,1.75,0.115,False
106,virtsim_36_0,virtsim_52_1,9,1.13,-0.195,False
107,virtsim_36_0,virtsim_9_4,15,1.88,0.18,False
108,virtsim_36_0,virtsim_52_2,10,1.25,-0.135,False
109,virtsim_36_0,virtsim_39_2,11,1.38,-0.07,False
110,virtsim_36_0,virtsim_23_2,12,1.5,-0.01,False
111,virtsim_36_0,virtsim_23_4,13,1.63,0.055,False
112,virtsim_36_0,virtsim_77_3,10,1.25,-0.135,False
113,virtsim_36_0,virtsim_70_3,11,1.38,-0.07,False
114,virtsim_36_0,virtsim_81_4,14,1.75,0.115,False
115,virtsim_36_0,virtsim_83_3,12,1.5,-0.01,False
116,virtsim_36_0,virtsim_15_4,12,1.5,-0.01,False
117,virtsim_36_0,virtsim_85_4,12,1.5,-0.01,False
118,virtsim_36_0,virtsim_85_3,12,1.5,-0.01,False
119,virtsim_30_0,virtsim_30_3,2,0.25,-0.635,True
120,virtsim_30_0,virtsim_30_4,1,0.13,-0.695,True
121,virtsim_30_0,virtsim_64_1,10,1.25,-0.135,False
122,virtsim_30_0,virtsim_17_3,11,1.38,-0.07,False
123,virtsim_30_0,virtsim_29_3,14,1.75,0.115,False
124,virtsim_30_0,virtsim_29_1,12,1.5,-0.01,False
125,virtsim_30_0,virtsim_62_4,13,1.63,0.055,False
126,virtsim_30_0,virtsim_62_3,13,1.63,0.055,False
127,virtsim_30_0,virtsim_26_4,12,1.5,-0.01,False
128,virtsim_30_0,virtsim_92_4,12,1.5,-0.01,False
129,virtsim_30_0,virtsim_38_1,14,1.75,0.115,False
130,virtsim_30_0,virtsim_38_3,13,1.63,0.055,False
131,virtsim_30_0,virtsim_47_4,13,1.63,0.055,False
132,virtsim_30_0,virtsim_16_4,11,1.38,-0.07,False
133,virtsim_30_0,virtsim_24_3,13,1.63,0.055,False
134,virtsim_30_0,virtsim_24_1,13,1.63,0.055,False
135,virtsim_30_0,virtsim_26_3,12,1.5,-0.01,False
136,virtsim_30_0,virtsim_24_4,13,1.63,0.055,False
137,virtsim_30_0,virtsim_22_2,12,1.5,-0.01,False
138,virtsim_30_0,virtsim_22_4,12,1.5,-0.01,False
139,virtsim_30_0,virtsim_1_1,13,1.63,0.055,False
140,virtsim_30_0,virtsim_71_1,13,1.63,0.055,False
141,virtsim_30_0,virtsim_79_3,13,1.63,0.055,False
142,virtsim_30_0,virtsim_66_2,13,1.63,0.055,False
143,virtsim_30_0,virtsim_66_3,13,1.63,0.055,False
144,virtsim_30_0,virtsim_65_3,12,1.5,-0.01,False
145,virtsim_30_0,virtsim_16_1,13,1.63,0.055,False
146,virtsim_30_0,virtsim_16_2,12,1.5,-0.01,False
147,virtsim_30_0,virtsim_25_1,10,1.25,-0.135,False
148,virtsim_30_0,virtsim_63_4,11,1.38,-0.07,False
149,virtsim_30_0,virtsim_63_2,11,1.38,-0.07,False
150,virtsim_30_0,virtsim_48_4,11,1.38,-0.07,False
151,virtsim_30_0,virtsim_14_2,11,1.38,-0.07,False
152,virtsim_30_0,virtsim_20_4,13,1.63,0.055,False
153,virtsim_30_0,virtsim_97_3,13,1.63,0.055,False
154,virtsim_30_0,virtsim_94_3,11,1.38,-0.07,False
155,virtsim_30_0,virtsim_94_1,11,1.38,-0.07,False
156,virtsim_30_0,virtsim_3_2,13,1.63,0.055,False
157,virtsim_30_0,virtsim_73_2,12,1.5,-0.01,False
158,virtsim_30_0,virtsim_73_3,13,1.63,0.055,False
159,virtsim_30_0,virtsim_69_1,13,1.63,0.055,False
160,virtsim_30_0,virtsim_26_1,12,1.5,-0.01,False
161,virtsim_30_0,virtsim_92_3,10,1.25,-0.135,False
162,virtsim_30_0,virtsim_92_2,10,1.25,-0.135,False
163,virtsim_30_0,virtsim_75_1,14,1.75,0.115,False
164,virtsim_30_0,virtsim_1_2,13,1.63,0.055,False
165,virtsim_30_0,virtsim_1_3,13,1.63,0.055,False
166,virtsim_30_0,virtsim_53_2,12,1.5,-0.01,False
167,virtsim_30_0,virtsim_53_4,13,1.63,0.055,False
168,virtsim_30_0,virtsim_59_2,14,1.75,0.115,False
169,virtsim_30_0,virtsim_98_2,13,1.63,0.055,False
170,virtsim_30_0,virtsim_98_1,13,1.63,0.055,False
171,virtsim_30_0,virtsim_51_2,13,1.63,0.055,False
172,virtsim_30_0,virtsim_98_4,13,1.63,0.055,False
173,virtsim_30_0,virtsim_88_1,11,1.38,-0.07,False
174,virtsim_30_0,virtsim_88_2,10,1.25,-0.135,False
175,virtsim_30_0,virtsim_78_1,14,1.75,0.115,False
