,sample_0,sample_1,raw_score,corrected_score,normalized_score,resampled
0,virtsim_30_0,virtsim_30_3,1,0.13,-0.695,True
1,virtsim_30_0,virtsim_30_2,0,0.0,-0.76,True
2,virtsim_30_0,virtsim_64_2,11,1.38,-0.07,False
3,virtsim_30_0,virtsim_64_3,10,1.25,-0.135,False
4,virtsim_30_0,virtsim_17_3,10,1.25,-0.135,False
5,virtsim_30_0,virtsim_29_2,13,1.63,0.055,False
6,virtsim_30_0,virtsim_29_1,13,1.63,0.055,False
7,virtsim_30_0,virtsim_62_1,12,1.5,-0.01,False
8,virtsim_30_0,virtsim_62_3,12,1.5,-0.01,False
9,virtsim_30_0,virtsim_74_2,12,1.5,-0.01,False
10,virtsim_30_0,virtsim_7_3,10,1.25,-0.135,False
11,virtsim_30_0,virtsim_90_1,11,1.38,-0.07,False
12,virtsim_30_0,virtsim_38_1,11,1.38,-0.07,False
13,virtsim_30_0,virtsim_38_2,11,1.38,-0.07,False
14,virtsim_30_0,virtsim_38_4,9,1.13,-0.195,False
15,virtsim_30_0,virtsim_30_4,0,0.0,-0.76,True
16,virtsim_30_0,virtsim_22_4,14,1.75,0.115,False
17,virtsim_30_0,virtsim_71_3,9,1.13,-0.195,False
18,virtsim_30_0,virtsim_79_4,12,1.5,-0.01,False
19,virtsim_30_0,virtsim_34_1,11,1.38,-0.07,False
20,virtsim_30_0,virtsim_10_1,9,1.13,-0.195,False
21,virtsim_30_0,virtsim_65_3,12,1.5,-0.01,False
22,virtsim_30_0,virtsim_65_2,12,1.5,-0.01,False
23,virtsim_30_0,virtsim_10_4,9,1.13,-0.195,False
24,virtsim_30_0,virtsim_37_2,13,1.63,0.055,False
25,virtsim_30_0,virtsim_37_1,12,1.5,-0.01,False
26,virtsim_30_0,virtsim_37_4,12,1.5,-0.01,False
27,virtsim_30_0,virtsim_96_3,9,1.13,-0.195,False
28,virtsim_30_0,virtsim_63_2,11,1.38,-0.07,False
29,virtsim_30_0,virtsim_14_4,12,1.5,-0.01,False
30,virtsim_30_0,virtsim_28_2,13,1.63,0.055,False
31,virtsim_30_0,virtsim_14_2,12,1.5,-0.01,False
32,virtsim_30_0,virtsim_48_2,13,1.63,0.055,False
33,virtsim_30_0,virtsim_20_4,12,1.5,-0.01,False
34,virtsim_30_0,virtsim_94_4,12,1.5,-0.01,False
35,virtsim_30_0,virtsim_94_3,12,1.5,-0.01,False
36,virtsim_30_0,virtsim_3_4,13,1.63,0.055,False
37,virtsim_30_0,virtsim_32_2,13,1.63,0.055,False
38,virtsim_30_0,virtsim_69_2,11,1.38,-0.07,False
39,virtsim_30_0,virtsim_73_1,14,1.75,0.115,False
40,virtsim_30_0,virtsim_26_1,13,1.63,0.055,False
41,virtsim_30_0,virtsim_92_3,11,1.38,-0.07,False
42,virtsim_30_0,virtsim_26_3,13,1.63,0.055,False
43,virtsim_30_0,virtsim_75_3,11,1.38,-0.07,False
44,virtsim_30_0,virtsim_25_4,13,1.63,0.055,False
45,virtsim_30_0,virtsim_98_1,10,1.25,-0.135,False
46,virtsim_30_0,virtsim_51_1,13,1.63,0.055,False
47,virtsim_30_0,virtsim_88_1,10,1.25,-0.135,False
48,virtsim_30_0,virtsim_88_3,10,1.25,-0.135,False
49,virtsim_30_0,virtsim_78_1,12,1.5,-0.01,False
50,virtsim_30_0,virtsim_33_4,12,1.5,-0.01,False
51,virtsim_30_0,virtsim_33_2,12,1.5,-0.01,False
52,virtsim_30_0,virtsim_12_1,13,1.63,0.055,False
53,virtsim_30_0,virtsim_61_4,13,1.63,0.055,False
54,virtsim_30_0,virtsim_67_3,15,1.88,0.18,False
55,virtsim_30_0,virtsim_55_2,12,1.5,-0.01,False
56,virtsim_30_0,virtsim_55_1,13,1.63,0.055,False
57,virtsim_30_0,virtsim_55_4,13,1.63,0.055,False
58,virtsim_30_0,virtsim_11_2,14,1.75,0.115,False
59,virtsim_30_0,virtsim_90_2,13,1.63,0.055,False
60,virtsim_30_0,virtsim_47_2,13,1.63,0.055,False
61,virtsim_30_0,virtsim_11_4,15,1.88,0.18,False
62,virtsim_30_0,virtsim_65_4,12,1.5,-0.01,False
63,virtsim_30_0,virtsim_49_1,12,1.5,-0.01,False
64,virtsim_30_0,virtsim_97_1,12,1.5,-0.01,False
65,virtsim_30_0,virtsim_5_1,11,1.38,-0.07,False
66,virtsim_30_0,virtsim_72_1,12,1.5,-0.01,False
67,virtsim_30_0,virtsim_27_3,14,1.75,0.115,False
68,virtsim_30_0,virtsim_43_3,14,1.75,0.115,False
69,virtsim_30_0,virtsim_2_3,14,1.75,0.115,False
70,virtsim_30_0,virtsim_68_1,12,1.5,-0.01,False
71,virtsim_30_0,virtsim_93_2,12,1.5,-0.01,False
72,virtsim_30_0,virtsim_93_3,13,1.63,0.055,False
73,virtsim_30_0,virtsim_50_2,15,1.88,0.18,False
74,virtsim_30_0,virtsim_50_1,15,1.88,0.18,False
75,virtsim_30_0,virtsim_89_1,12,1.5,-0.01,False
76,virtsim_30_0,virtsim_99_2,16,2.0,0.24,False
77,virtsim_30_0,virtsim_99_1,15,1.88,0.18,False
78,virtsim_30_0,virtsim_56_1,12,1.5,-0.01,False
79,virtsim_30_0,virtsim_87_3,11,1.38,-0.07,False
80,virtsim_30_0,virtsim_80_2,14,1.75,0.115,False
81,virtsim_30_0,virtsim_80_3,14,1.75,0.115,False
82,virtsim_30_0,virtsim_80_4,14,1.75,0.115,False
83,virtsim_30_0,virtsim_41_4,10,1.25,-0.135,False
84,virtsim_30_0,virtsim_15_1,13,1.63,0.055,False
85,virtsim_30_0,virtsim_97_2,12,1.5,-0.01,False
86,virtsim_30_0,virtsim_68_4,13,1.63,0.055,False
87,virtsim_30_0,virtsim_60_4,14,1.75,0.115,False
88,virtsim_30_0,virtsim_54_4,11,1.38,-0.07,False
89,virtsim_30_0,virtsim_45_2,13,1.63,0.055,False
