,sample_0,sample_1,raw_score,corrected_score,normalized_score,resampled
0,virtsim_36_0,virtsim_64_1,13,1.63,0.045,False
1,virtsim_36_0,virtsim_29_1,13,1.63,0.045,False
2,virtsim_36_0,virtsim_56_4,13,1.63,0.045,False
3,virtsim_36_0,virtsim_62_1,14,1.75,0.105,False
4,virtsim_36_0,virtsim_32_1,13,1.63,0.045,False
5,virtsim_36_0,virtsim_62_3,14,1.75,0.105,False
6,virtsim_36_0,virtsim_26_4,16,2.0,0.23,False
7,virtsim_36_0,virtsim_74_2,14,1.75,0.105,False
8,virtsim_36_0,virtsim_7_3,14,1.75,0.105,False
9,virtsim_36_0,virtsim_26_1,16,2.0,0.23,False
10,virtsim_36_0,virtsim_58_1,14,1.75,0.105,False
11,virtsim_36_0,virtsim_24_4,13,1.63,0.045,False
12,virtsim_36_0,virtsim_22_2,13,1.63,0.045,False
13,virtsim_36_0,virtsim_11_4,12,1.5,-0.02,False
14,virtsim_36_0,virtsim_71_2,12,1.5,-0.02,False
15,virtsim_36_0,virtsim_71_3,11,1.38,-0.08,False
16,virtsim_36_0,virtsim_66_1,14,1.75,0.105,False
17,virtsim_36_0,virtsim_10_3,12,1.5,-0.02,False
18,virtsim_36_0,virtsim_65_4,12,1.5,-0.02,False
19,virtsim_36_0,virtsim_65_3,11,1.38,-0.08,False
20,virtsim_36_0,virtsim_96_3,14,1.75,0.105,False
21,virtsim_36_0,virtsim_48_4,14,1.75,0.105,False
22,virtsim_36_0,virtsim_28_4,13,1.63,0.045,False
23,virtsim_36_0,virtsim_28_1,15,1.88,0.17,False
24,virtsim_36_0,virtsim_20_4,13,1.63,0.045,False
25,virtsim_36_0,virtsim_94_4,13,1.63,0.045,False
26,virtsim_36_0,virtsim_20_3,12,1.5,-0.02,False
27,virtsim_36_0,virtsim_3_3,14,1.75,0.105,False
28,virtsim_36_0,virtsim_73_2,13,1.63,0.045,False
29,virtsim_36_0,virtsim_73_1,13,1.63,0.045,False
30,virtsim_36_0,virtsim_62_2,14,1.75,0.105,False
31,virtsim_36_0,virtsim_26_2,16,2.0,0.23,False
32,virtsim_36_0,virtsim_92_2,14,1.75,0.105,False
33,virtsim_36_0,virtsim_75_2,15,1.88,0.17,False
34,virtsim_36_0,virtsim_25_2,13,1.63,0.045,False
35,virtsim_36_0,virtsim_25_1,14,1.75,0.105,False
36,virtsim_36_0,virtsim_25_4,15,1.88,0.17,False
37,virtsim_36_0,virtsim_59_4,12,1.5,-0.02,False
38,virtsim_36_0,virtsim_82_1,15,1.88,0.17,False
39,virtsim_36_0,virtsim_59_3,14,1.75,0.105,False
40,virtsim_36_0,virtsim_59_1,13,1.63,0.045,False
41,virtsim_36_0,virtsim_98_2,10,1.25,-0.145,False
42,virtsim_36_0,virtsim_78_4,14,1.75,0.105,False
43,virtsim_36_0,virtsim_33_2,13,1.63,0.045,False
44,virtsim_36_0,virtsim_57_1,14,1.75,0.105,False
45,virtsim_36_0,virtsim_9_3,11,1.38,-0.08,False
46,virtsim_36_0,virtsim_35_1,11,1.38,-0.08,False
47,virtsim_36_0,virtsim_55_4,9,1.13,-0.205,False
48,virtsim_36_0,virtsim_18_4,11,1.38,-0.08,False
49,virtsim_36_0,virtsim_84_1,14,1.75,0.105,False
50,virtsim_36_0,virtsim_84_2,14,1.75,0.105,False
51,virtsim_36_0,virtsim_11_2,13,1.63,0.045,False
52,virtsim_36_0,virtsim_47_4,13,1.63,0.045,False
53,virtsim_36_0,virtsim_47_2,13,1.63,0.045,False
54,virtsim_36_0,virtsim_7_4,14,1.75,0.105,False
55,virtsim_36_0,virtsim_49_4,15,1.88,0.17,False
56,virtsim_36_0,virtsim_97_2,14,1.75,0.105,False
57,virtsim_36_0,virtsim_97_3,14,1.75,0.105,False
58,virtsim_36_0,virtsim_5_2,14,1.75,0.105,False
59,virtsim_36_0,virtsim_95_3,13,1.63,0.045,False
60,virtsim_36_0,virtsim_43_2,16,2.0,0.23,False
61,virtsim_36_0,virtsim_2_1,11,1.38,-0.08,False
62,virtsim_36_0,virtsim_68_3,14,1.75,0.105,False
63,virtsim_36_0,virtsim_99_3,11,1.38,-0.08,False
64,virtsim_36_0,virtsim_56_1,13,1.63,0.045,False
65,virtsim_36_0,virtsim_80_1,11,1.38,-0.08,False
66,virtsim_36_0,virtsim_80_3,11,1.38,-0.08,False
67,virtsim_36_0,virtsim_15_3,11,1.38,-0.08,False
68,virtsim_36_0,virtsim_13_1,12,1.5,-0.02,False
69,virtsim_36_0,virtsim_13_2,11,1.38,-0.08,False
70,virtsim_36_0,virtsim_13_3,12,1.5,-0.02,False
71,virtsim_36_0,virtsim_8_3,11,1.38,-0.08,False
72,virtsim_36_0,virtsim_11_3,12,1.5,-0.02,False
73,virtsim_36_0,virtsim_44_3,14,1.75,0.105,False
74,virtsim_36_0,virtsim_91_2,12,1.5,-0.02,False
75,virtsim_36_0,virtsim_87_1,12,1.5,-0.02,False
76,virtsim_36_0,virtsim_40_1,12,1.5,-0.02,False
77,virtsim_36_0,virtsim_4_1,15,1.88,0.17,False
78,virtsim_36_0,virtsim_4_2,15,1.88,0.17,False
79,virtsim_36_0,virtsim_52_3,11,1.38,-0.08,False
80,virtsim_36_0,virtsim_52_4,11,1.38,-0.08,False
81,virtsim_36_0,virtsim_42_4,14,1.75,0.105,False
82,virtsim_36_0,virtsim_76_4,13,1.63,0.045,False
83,virtsim_36_0,virtsim_76_1,13,1.63,0.045,False
84,virtsim_36_0,virtsim_2_4,12,1.5,-0.02,False
85,virtsim_36_0,virtsim_23_2,9,1.13,-0.205,False
86,virtsim_36_0,virtsim_39_4,14,1.75,0.105,False
87,virtsim_36_0,virtsim_23_4,10,1.25,-0.145,False
88,virtsim_36_0,virtsim_70_2,11,1.38,-0.08,False
89,virtsim_36_0,virtsim_83_3,13,1.63,0.045,False
90,virtsim_30_0,virtsim_64_1,13,1.63,0.045,False
91,virtsim_30_0,virtsim_29_1,10,1.25,-0.145,False
92,virtsim_30_0,virtsim_56_4,9,1.13,-0.205,False
93,virtsim_30_0,virtsim_62_1,11,1.38,-0.08,False
94,virtsim_30_0,virtsim_32_1,12,1.5,-0.02,False
95,virtsim_30_0,virtsim_62_3,11,1.38,-0.08,False
96,virtsim_30_0,virtsim_26_4,14,1.75,0.105,False
97,virtsim_30_0,virtsim_74_2,12,1.5,-0.02,False
98,virtsim_30_0,virtsim_7_3,9,1.13,-0.205,False
99,virtsim_30_0,virtsim_26_1,14,1.75,0.105,False
100,virtsim_30_0,virtsim_58_1,12,1.5,-0.02,False
101,virtsim_30_0,virtsim_24_4,12,1.5,-0.02,False
102,virtsim_30_0,virtsim_22_2,12,1.5,-0.02,False
103,virtsim_30_0,virtsim_11_4,15,1.88,0.17,False
104,virtsim_30_0,virtsim_71_2,11,1.38,-0.08,False
105,virtsim_30_0,virtsim_71_3,11,1.38,-0.08,False
106,virtsim_30_0,virtsim_66_1,10,1.25,-0.145,False
107,virtsim_30_0,virtsim_10_3,14,1.75,0.105,False
108,virtsim_30_0,virtsim_65_4,14,1.75,0.105,False
109,virtsim_30_0,virtsim_65_3,13,1.63,0.045,False
110,virtsim_30_0,virtsim_96_3,13,1.63,0.045,False
111,virtsim_30_0,virtsim_48_4,13,1.63,0.045,False
112,virtsim_30_0,virtsim_28_4,11,1.38,-0.08,False
113,virtsim_30_0,virtsim_28_1,11,1.38,-0.08,False
114,virtsim_30_0,virtsim_20_4,15,1.88,0.17,False
115,virtsim_30_0,virtsim_94_4,13,1.63,0.045,False
116,virtsim_30_0,virtsim_20_3,15,1.88,0.17,False
117,virtsim_30_0,virtsim_3_3,13,1.63,0.045,False
118,virtsim_30_0,virtsim_73_2,12,1.5,-0.02,False
119,virtsim_30_0,virtsim_73_1,13,1.63,0.045,False
120,virtsim_30_0,virtsim_62_2,11,1.38,-0.08,False
121,virtsim_30_0,virtsim_26_2,14,1.75,0.105,False
122,virtsim_30_0,virtsim_92_2,13,1.63,0.045,False
123,virtsim_30_0,virtsim_75_2,13,1.63,0.045,False
124,virtsim_30_0,virtsim_25_2,13,1.63,0.045,False
125,virtsim_30_0,virtsim_25_1,13,1.63,0.045,False
126,virtsim_30_0,virtsim_25_4,13,1.63,0.045,False
127,virtsim_30_0,virtsim_59_4,11,1.38,-0.08,False
128,virtsim_30_0,virtsim_82_1,13,1.63,0.045,False
129,virtsim_30_0,virtsim_59_3,12,1.5,-0.02,False
130,virtsim_30_0,virtsim_59_1,12,1.5,-0.02,False
131,virtsim_30_0,virtsim_98_2,16,2.0,0.23,False
132,virtsim_30_0,virtsim_78_4,14,1.75,0.105,False
133,virtsim_30_0,virtsim_33_2,12,1.5,-0.02,False
134,virtsim_30_0,virtsim_57_1,10,1.25,-0.145,False
135,virtsim_30_0,virtsim_9_3,12,1.5,-0.02,False
136,virtsim_30_0,virtsim_35_1,11,1.38,-0.08,False
137,virtsim_30_0,virtsim_55_4,13,1.63,0.045,False
138,virtsim_30_0,virtsim_18_4,13,1.63,0.045,False
139,virtsim_30_0,virtsim_84_1,13,1.63,0.045,False
140,virtsim_30_0,virtsim_84_2,12,1.5,-0.02,False
141,virtsim_30_0,virtsim_11_2,15,1.88,0.17,False
142,virtsim_30_0,virtsim_47_4,8,1.0,-0.27,False
143,virtsim_30_0,virtsim_47_2,8,1.0,-0.27,False
144,virtsim_30_0,virtsim_7_4,9,1.13,-0.205,False
145,virtsim_30_0,virtsim_49_4,14,1.75,0.105,False
