,sample_0,sample_1,raw_score,corrected_score,normalized_score,resampled
0,virtsim_58_0,virtsim_24_2,10,1.25,-0.12,False
1,virtsim_58_0,virtsim_30_5,11,1.38,-0.055,False
2,virtsim_58_0,virtsim_77_2,15,1.88,0.195,False
3,virtsim_58_0,virtsim_77_3,15,1.88,0.195,False
4,virtsim_58_0,virtsim_24_5,11,1.38,-0.055,False
5,virtsim_58_0,virtsim_22_2,12,1.5,0.005,False
6,virtsim_58_0,virtsim_79_1,15,1.88,0.195,False
7,virtsim_58_0,virtsim_34_1,14,1.75,0.13,False
8,virtsim_58_0,virtsim_34_2,14,1.75,0.13,False
9,virtsim_58_0,virtsim_66_3,11,1.38,-0.055,False
10,virtsim_58_0,virtsim_66_5,11,1.38,-0.055,False
11,virtsim_58_0,virtsim_65_1,14,1.75,0.13,False
12,virtsim_58_0,virtsim_37_3,15,1.88,0.195,False
13,virtsim_58_0,virtsim_37_4,13,1.63,0.07,False
14,virtsim_58_0,virtsim_96_2,11,1.38,-0.055,False
15,virtsim_58_0,virtsim_96_5,12,1.5,0.005,False
16,virtsim_58_0,virtsim_96_4,11,1.38,-0.055,False
17,virtsim_58_0,virtsim_14_1,13,1.63,0.07,False
18,virtsim_58_0,virtsim_94_5,13,1.63,0.07,False
19,virtsim_58_0,virtsim_20_5,12,1.5,0.005,False
20,virtsim_58_0,virtsim_65_4,14,1.75,0.13,False
21,virtsim_58_0,virtsim_20_3,12,1.5,0.005,False
22,virtsim_58_0,virtsim_3_5,13,1.63,0.07,False
23,virtsim_58_0,virtsim_3_2,14,1.75,0.13,False
24,virtsim_58_0,virtsim_73_2,12,1.5,0.005,False
25,virtsim_58_0,virtsim_26_1,14,1.75,0.13,False
26,virtsim_58_0,virtsim_69_5,13,1.63,0.07,False
27,virtsim_58_0,virtsim_92_2,13,1.63,0.07,False
28,virtsim_58_0,virtsim_60_5,13,1.63,0.07,False
29,virtsim_58_0,virtsim_98_4,9,1.13,-0.18,False
30,virtsim_58_0,virtsim_88_2,15,1.88,0.195,False
31,virtsim_58_0,virtsim_88_5,15,1.88,0.195,False
32,virtsim_58_0,virtsim_31_3,14,1.75,0.13,False
33,virtsim_58_0,virtsim_61_2,14,1.75,0.13,False
34,virtsim_58_0,virtsim_12_3,11,1.38,-0.055,False
35,virtsim_58_0,virtsim_61_4,14,1.75,0.13,False
36,virtsim_58_0,virtsim_67_1,15,1.88,0.195,False
37,virtsim_58_0,virtsim_35_5,9,1.13,-0.18,False
38,virtsim_58_0,virtsim_18_3,13,1.63,0.07,False
39,virtsim_58_0,virtsim_18_1,13,1.63,0.07,False
40,virtsim_58_0,virtsim_18_4,13,1.63,0.07,False
41,virtsim_58_0,virtsim_84_4,15,1.88,0.195,False
42,virtsim_58_0,virtsim_90_2,14,1.75,0.13,False
43,virtsim_58_0,virtsim_90_1,14,1.75,0.13,False
