,sample_0,sample_1,raw_score,corrected_score,normalized_score,resampled
0,virtsim_36_0,virtsim_19_4,14,1.75,0.115,False
1,virtsim_36_0,virtsim_30_2,14,1.75,0.115,False
2,virtsim_36_0,virtsim_64_2,12,1.5,-0.01,False
3,virtsim_36_0,virtsim_30_4,14,1.75,0.115,False
4,virtsim_36_0,virtsim_62_4,12,1.5,-0.01,False
5,virtsim_36_0,virtsim_62_1,12,1.5,-0.01,False
6,virtsim_36_0,virtsim_32_1,12,1.5,-0.01,False
7,virtsim_36_0,virtsim_74_2,10,1.25,-0.135,False
8,virtsim_36_0,virtsim_74_4,9,1.13,-0.195,False
9,virtsim_36_0,virtsim_79_4,11,1.38,-0.07,False
10,virtsim_36_0,virtsim_52_2,12,1.5,-0.01,False
11,virtsim_36_0,virtsim_79_1,11,1.38,-0.07,False
12,virtsim_36_0,virtsim_34_4,12,1.5,-0.01,False
13,virtsim_36_0,virtsim_34_2,13,1.63,0.055,False
14,virtsim_36_0,virtsim_66_3,12,1.5,-0.01,False
15,virtsim_36_0,virtsim_10_2,13,1.63,0.055,False
16,virtsim_36_0,virtsim_65_2,13,1.63,0.055,False
17,virtsim_36_0,virtsim_65_1,13,1.63,0.055,False
18,virtsim_36_0,virtsim_16_1,11,1.38,-0.07,False
19,virtsim_36_0,virtsim_37_3,14,1.75,0.115,False
20,virtsim_36_0,virtsim_63_4,12,1.5,-0.01,False
21,virtsim_36_0,virtsim_96_4,9,1.13,-0.195,False
22,virtsim_36_0,virtsim_14_3,11,1.38,-0.07,False
23,virtsim_36_0,virtsim_48_1,12,1.5,-0.01,False
24,virtsim_36_0,virtsim_14_1,11,1.38,-0.07,False
25,virtsim_36_0,virtsim_60_2,15,1.88,0.18,False
26,virtsim_36_0,virtsim_20_3,9,1.13,-0.195,False
27,virtsim_36_0,virtsim_3_3,13,1.63,0.055,False
28,virtsim_36_0,virtsim_86_4,10,1.25,-0.135,False
29,virtsim_36_0,virtsim_26_2,13,1.63,0.055,False
30,virtsim_36_0,virtsim_25_2,12,1.5,-0.01,False
31,virtsim_36_0,virtsim_59_4,10,1.25,-0.135,False
32,virtsim_36_0,virtsim_25_3,11,1.38,-0.07,False
33,virtsim_36_0,virtsim_59_1,7,0.88,-0.32,False
34,virtsim_36_0,virtsim_98_2,14,1.75,0.115,False
35,virtsim_36_0,virtsim_78_2,12,1.5,-0.01,False
36,virtsim_36_0,virtsim_57_4,13,1.63,0.055,False
37,virtsim_36_0,virtsim_57_1,12,1.5,-0.01,False
38,virtsim_36_0,virtsim_57_3,12,1.5,-0.01,False
39,virtsim_36_0,virtsim_61_3,9,1.13,-0.195,False
40,virtsim_36_0,virtsim_9_2,12,1.5,-0.01,False
41,virtsim_36_0,virtsim_27_4,11,1.38,-0.07,False
42,virtsim_36_0,virtsim_18_1,12,1.5,-0.01,False
43,virtsim_36_0,virtsim_18_4,12,1.5,-0.01,False
44,virtsim_36_0,virtsim_0_1,11,1.38,-0.07,False
45,virtsim_36_0,virtsim_90_3,13,1.63,0.055,False
